96	233
TemperaturePre	anemia:0
fusarium	crp
chao1	CCI:0
CALCIUMval	PatientRace_cat:1
Procalcitonin	iv_ESA:1
proteobacteria	cyanobacteria
nfkb	nrf2
fusarium	hypertension:1
firmicutes	TemperaturePre
itschao1	ascomycota
chao1	HTxRuntimeMinutes
HTxRuntimeMinutes	ModelKOA:21R
fusarium	hemoglobinval
candida	Antiplatelet:1
crp	Antiplatelet:1
cdkn2a	IHD:0
richness	ModelKOA:21R
TemperaturePost	DIABALL:1
TemperaturePre	TemperaturePost
nitrospirae	CALCIUMval
CALCIUMval	AccessType:AV_Graft
cdkn2a	Opioids:0
hemoglobinval	lps
firmicutes	ascomycota
WeightPostKg	PreSittingDiastolicBP
CALCIUMval	hemoglobinval
candida	VitaminD:0
ascomycota	ModelKOA:RevC
candida	cladosporium
TemperaturePre	cdkn2a
HTxRuntimeMinutes	topical_anesthetics:0
candida	Access_category:1
PostSittingSystolicBP	IHD:0
itschao1	IHD:0
causeofESRD:1	causeofESRD:2
PreSittingDiastolicBP	Charlson
PreSittingDiastolicBP	causeofESRD:2
PreSittingDiastolicBP	causeofESRD:1
cladosporium	CCI:1
candida	il6
WeightPostKg	CHF:0
Procalcitonin	causeofESRD:1
potval	DWOC:1
BMI_PreKg	nfkb
richness	cyanobacteria
FERRITINval	nrf2
nitrospirae	PostSittingDiastolicBP
PreSittingSystolicBP	anemia:0
PatientAgeYears	PatientGender_cat:1
candida	IsReuse:1
CALCIUMval	CCI:0
proteobacteria	Charlson
mcp1	IHD:0
fusobacteria	PreSittingDiastolicBP
Charlson	cdkn2a
vintageyrs	causeofESRD:2
DWC:0	hypertension:1
HTxRuntimeMinutes	causeofESRD:1
simpsons	aspergillus
creatval	nfkb
CCI:3	MLD:0
PatientRace_cat:1	Access_category:1
iv_iron:1	Calcium_Acetate:1
CCI:3	CPD:0
CPD:0	IHD:0
anemia:0	Cinacalcet:0
IHD:0	ModelKOA:24R
Cinacalcet:0	ModelKOA:24R
MLD:0	Cinacalcet:0
CPD:0	AccessType:AV_Graft
anemia:0	IHD:0
nitrospirae	AccessType:AV_Graft
CCI:0	ModelKOA:190
PatientRace_cat:3	CCI:0
CPD:0	Antiplatelet:1
proteobacteria	TemperaturePre
lps	ModelKOA:190
BMI_PreKg	creatval
TemperaturePre	Charlson
simpsons	HTxRuntimeMinutes
crp	ModelKOA:Rev
DWOC:1	DWC:0
DWC:0	Opioids:0
evenness	ModelKOA:RevC
aspergillus	topical_anesthetics:0
bacteroidetes	Calcium_Acetate:1
proteobacteria	chao1
chao1	Antiplatelet:1
BMI_PreKg	PreSittingDiastolicBP
bacteroidetes	Charlson
PatientAgeYears	causeofESRD:4
nrf2	CHF:0
iv_iron:1	Sevelamer:0
actinobacteria	WeightPostKg
cdkn2a	causeofESRD:4
Charlson	IHD:0
PreSittingDiastolicBP	Statin:0
nitrospirae	PTHval
FERRITINval	CHF:0
CCI:3	Access_category:1
AccessType:AV_Graft	Access_category:1
ascomycota	candida
simpsons	cyanobacteria
PatientRace_cat:2	causeofESRD:4
vintageyrs	creatval
nfkb	tnfa
evenness	iv_iron:1
vintageyrs	CALCIUMval
HTxRuntimeMinutes	causeofESRD:4
its_copy_n	Sevelamer:0
BMI_PreKg	Antiplatelet:1
itschao1	PatientAgeYears
fusobacteria	BMI_PreKg
Procalcitonin	IsReuse:1
candida	CCI:3
proteobacteria	nitrospirae
ALBval	PatientGender_cat:1
mcp1	Access_category:3
Calcium_Acetate:1	dialyzer_type:3
PostSittingDiastolicBP	CALCIUMval
BMI_PreKg	iv_ESA:1
bacteroidetes	candida
FERRITINval	crp
PatientAgeYears	TemperaturePre
itschao1	fibrobacteres
evenness	aspergillus
its_copy_n	FERRITINval
hemoglobinval	CHF:0
firmicutes	ModelKOA:RevC
bacteroidetes	CCI:3
PreSittingSystolicBP	PostSittingSystolicBP
tnfa	dialyzer_type:2
actinobacteria	PreSittingDiastolicBP
cdkn2a	PatientRace_cat:2
firmicutes	ModelKOA:21R
hypertension:1	Access_category:3
Sevelamer:0	phosphate_binder:1
causeofESRD:1	iv_ESA:1
vintageyrs	nfkb
aspergillus	hemoglobinval
lps	PatientRace_cat:3
basidiomycota	phosval
cdkn2a	nfkb
nitrospirae	PreSittingDiastolicBP
IHD:0	Cinacalcet:0
Antiplatelet:1	AccessType:AV_Graft
actinobacteria	DWC:0
fusarium	TemperaturePost
creatval	CHF:0
HTxRuntimeMinutes	anemia:0
cyanobacteria	ModelKOA:190G
candida	DWC:0
creatval	causeofESRD:2
cdkn2a	ModelKOA:24R
PatientRace_cat:1	Opioids:0
actinobacteria	hypertension:1
BMI_PreKg	Statin:0
cladosporium	CCI:3
vintageyrs	PostSittingDiastolicBP
WeightPostKg	nfkb
causeofESRD:1	causeofESRD:4
hemoglobinval	topical_anesthetics:0
PostSittingSystolicBP	HTxRuntimeMinutes
bDNA_copy_n	Charlson
CALCIUMval	phosphate_binder:1
actinobacteria	ModelKOA:RvC
itschao1	Charlson
Opioids:0	Access_category:1
CALCIUMval	lps
firmicutes	DWOC:1
CCI:3	DWC:0
chao1	causeofESRD:4
PreSittingDiastolicBP	PostSittingDiastolicBP
actinobacteria	Charlson
its_copy_n	il6
TemperaturePre	IHD:0
bDNA_copy_n	DIABALL:1
hypertension:1	Access_category:1
ALBval	IsReuse:1
bacteroidetes	cladosporium
vintageyrs	PTHval
topical_anesthetics:0	Access_category:3
Access_category:3	ModelKOA:RvC
dialyzer_type:1	dialyzer_type:3
dialyzer_type:1	dialyzer_type:2
iv_ESA:1	Statin:0
iv_ESA:1	VitaminD:0
bDNA_copy_n	PreSittingDiastolicBP
Access_category:1	Access_category:3
fibrobacteres	ascomycota
fusobacteria	il6
nrf2	ModelKOA:RvC
FERRITINval	tnfa
ModelKOA:180	dialyzer_type:2
topical_anesthetics:0	ModelKOA:190G
fibrobacteres	ModelKOA:RevC
fibrobacteres	VitaminD:0
PatientRace_cat:3	Statin:0
MLD:0	ModelKOA:RvC
PatientRace_cat:3	dialyzer_type:2
CHF:0	ModelKOA:RvC
CHF:0	topical_anesthetics:0
CHF:0	VitaminD:0
ModelKOA:190	dialyzer_type:3
ModelKOA:190G	dialyzer_type:3
itschao1	VitaminD:0
its_copy_n	mcp1
simpsons	ModelKOA:RevC
CCI:1	DWC:0
bDNA_copy_n	nitrospirae
fibrobacteres	basidiomycota
simpsons	richness
PatientAgeYears	cdkn2a
bacteroidetes	CPD:0
PatientRace_cat:1	CCI:0
CCI:0	DIABALL:1
lps	DIABALL:1
basidiomycota	ascomycota
Procalcitonin	ModelKOA:24R
lps	CCI:0
richness	HTxRuntimeMinutes
richness	causeofESRD:4
FERRITINval	nfkb
PostSittingSystolicBP	anemia:0
ModelKOA:21R	IsReuse:1
PatientAgeYears	Charlson
simpsons	evenness
CCI:1	DWOC:1
WeightPostKg	BMI_PreKg
PatientRace_cat:1	PatientRace_cat:2
proteobacteria	firmicutes
richness	chao1
PatientHeightInches	PatientGender_cat:1
